date,ABAP,AGS Script,ANTLR,API Blueprint,ASP,ActionScript,Ada,Adblock Filter List,Agda,ApacheConf,Apex,AppleScript,Arduino,Assembly,Augeas,AutoHotkey,AutoIt,Batchfile,Bicep,BitBake,Blade,BlitzBasic,Brightscript,C,C#,C++,CMake,CSS,Ceylon,Clojure,CodeQL,CoffeeScript,ColdFusion,Common Lisp,Common Workflow Language,Component Pascal,Coq,Crystal,Cucumber,Cuda,Cython,D,DCPU-16 ASM,DM,Dart,Delphi,Dockerfile,Eagle,Eiffel,Elixir,Elm,Emacs Lisp,Erlang,F#,F*,FORTRAN,Factor,Fancy,Forth,Fortran,FreeMarker,GAP,GCC Machine Description,GDScript,GLSL,Game Maker Language,Gherkin,Gnuplot,Go,Grammatical Framework,Groff,Groovy,HCL,HTML,Haml,Handlebars,Haskell,Haxe,IDL,Inno Setup,JSON,Java,JavaScript,JetBrains MPS,Jinja,Jsonnet,Julia,Jupyter Notebook,KRL,KiCad,Kotlin,LLVM,Lean,Less,LiveScript,Logos,LookML,Lua,M,M4,MATLAB,MLIR,Makefile,Mako,Markdown,Mathematica,Matlab,Max,Mercury,Mirah,Modelica,Monkey,Mustache,NewLisp,Nginx,Nim,Nix,Nunjucks,OCaml,Objective-C,Objective-C++,Objective-J,Opa,OpenEdge ABL,OpenSCAD,Oz,PHP,PLSQL,PLpgSQL,Pascal,Pawn,Perl,Perl 6,Perl6,PostScript,PowerShell,Processing,Prolog,Pug,Puppet,PureBasic,PureScript,Python,QML,R,Racket,Ragel in Ruby Host,Raku,Reason,Rich Text Format,RobotFramework,Roff,Ruby,Rust,SCSS,SQF,SQL,SQLPL,SWIG,SaltStack,Sass,Scala,Scheme,Shell,Smali,Smalltalk,Smarty,SourcePawn,Standard ML,Starlark,Stylus,SuperCollider,Swift,SystemVerilog,TSQL,Tcl,TeX,Thrift,Twig,TypeScript,UnrealScript,VBA,VHDL,Vala,Verilog,Vim Script,Vim script,VimL,Visual Basic,Visual Basic .NET,Vue,Web Ontology Language,WebAssembly,XML,XQuery,XS,XSLT,Xojo,Xtend,YAML,hoon,nesC,ooc,q,xBase
2012-06-30,,257.0,,,,934.0,119.0,,134.0,,,,150.0,353.0,,243.0,,,,108.0,,,,50649.0,12350.0,46773.0,166.0,4961.0,89.0,3047.0,,7126.0,573.0,1022.0,,,,,,,,766.0,409.0,302.0,237.0,65.0,,128.0,,384.0,,2861.0,3210.0,209.0,,128.0,311.0,131.0,,173.0,,,,,,,119.0,,3738.0,,,1836.0,,9627.0,,,7553.0,410.0,,,,64086.0,98729.0,443.0,,,88.0,,,,364.0,,,,327.0,,,2038.0,,,101.0,,558.0,72.0,,111.0,509.0,200.0,,272.0,,63.0,,108.0,,,107.0,,1510.0,10551.0,,296.0,63.0,186.0,,80.0,62896.0,,681.0,222.0,,7820.0,233.0,84.0,115.0,172.0,,77.0,,686.0,,,89650.0,,446.0,229.0,90.0,844.0,,,,451.0,87701.0,319.0,112.0,,,,,,,7152.0,260.0,11588.0,,1120.0,,,74.0,,,84.0,,,,318.0,734.0,,,2129.0,,,142.0,840.0,213.0,731.0,1090.0,879.0,109.0,,,216.0,,,,,786.0,,,,,383.0,85.0,,
2012-09-30,,212.0,,,,859.0,,,169.0,,,79.0,373.0,366.0,79.0,246.0,,74.0,,1115.0,,260.0,,54830.0,14088.0,52274.0,198.0,6565.0,,3425.0,,6111.0,695.0,857.0,,62.0,,,,81.0,,1011.0,215.0,,156.0,78.0,,118.0,,412.0,,3467.0,3474.0,430.0,,74.0,321.0,,,434.0,,,,,,,85.0,,6694.0,94.0,,2901.0,,11762.0,,,7602.0,494.0,,,,71873.0,112211.0,557.0,,,,121.0,,,478.0,965.0,,,120.0,,,2883.0,,,124.0,,420.0,,,126.0,523.0,90.0,,,116.0,192.0,,176.0,,,682.0,,1623.0,11469.0,333.0,437.0,,,,,73644.0,,707.0,109.0,,6807.0,505.0,111.0,,183.0,,227.0,,1171.0,,,105105.0,,367.0,258.0,67.0,574.0,,,,806.0,90042.0,577.0,130.0,,,,,,,7240.0,528.0,15377.0,,766.0,,,145.0,,,121.0,110.0,,,193.0,777.0,,,1682.0,,,175.0,874.0,254.0,616.0,1520.0,832.0,112.0,,,134.0,,,,,508.0,,,,,762.0,,,
2012-12-30,,,,,,802.0,,,294.0,,139.0,,245.0,367.0,78.0,141.0,74.0,136.0,,1001.0,,217.0,,62699.0,14841.0,57530.0,252.0,9924.0,,3119.0,,7697.0,1107.0,1511.0,62.0,,,,,,,1017.0,,,573.0,269.0,,,,585.0,,3192.0,4303.0,674.0,,95.0,391.0,,,397.0,,,,,,,,,8049.0,,61.0,2988.0,,13966.0,,,10015.0,561.0,,,,90287.0,131938.0,489.0,,,420.0,354.0,,,657.0,,,,105.0,82.0,,3767.0,,,232.0,,673.0,,,87.0,755.0,,,,60.0,136.0,,113.0,,,643.0,,1838.0,13732.0,211.0,258.0,,108.0,,,84267.0,,926.0,114.0,,7518.0,131.0,66.0,89.0,208.0,126.0,465.0,,1385.0,,,117851.0,76.0,609.0,300.0,,425.0,,,,817.0,101769.0,714.0,240.0,,,,,,,8613.0,515.0,18597.0,,455.0,,,510.0,,,,365.0,,67.0,196.0,935.0,,,2310.0,,,98.0,546.0,125.0,808.0,1368.0,1050.0,88.0,,,103.0,,131.0,,,844.0,,,,,834.0,,,
2013-03-30,,205.0,,,,1419.0,214.0,,114.0,139.0,,162.0,376.0,640.0,,197.0,144.0,,,701.0,,331.0,,76197.0,22546.0,73506.0,459.0,17111.0,114.0,3516.0,,10570.0,688.0,1499.0,,,,,,,,858.0,,,907.0,140.0,,,,455.0,,4636.0,4355.0,435.0,,188.0,995.0,,,326.0,,,,,,,,,10127.0,,124.0,4276.0,,18753.0,,,11928.0,642.0,,111.0,,122450.0,185685.0,625.0,,,720.0,632.0,,,906.0,,,,184.0,162.0,,4812.0,,,323.0,,924.0,,,,950.0,,123.0,,,154.0,,198.0,,,1075.0,,2401.0,18561.0,,890.0,,,,,111851.0,,765.0,387.0,,9457.0,133.0,,164.0,601.0,174.0,599.0,,1174.0,,,154419.0,190.0,968.0,172.0,,424.0,,,,1072.0,139455.0,1120.0,366.0,196.0,,,,,,11931.0,782.0,22369.0,,547.0,,184.0,576.0,,,,454.0,,173.0,379.0,1685.0,,,4276.0,119.0,,272.0,1023.0,121.0,1331.0,2069.0,1305.0,385.0,,,123.0,,,,,2060.0,,,,,745.0,,,
2013-06-30,,,,,,960.0,568.0,,108.0,,,,591.0,575.0,,255.0,,,,793.0,,471.0,,86960.0,26426.0,86287.0,442.0,23992.0,,4583.0,,12721.0,687.0,1865.0,,,,,,,,484.0,,546.0,1517.0,,,159.0,,878.0,,4743.0,4609.0,990.0,,201.0,851.0,,,504.0,,,,,,,172.0,,16226.0,,,4567.0,,24753.0,,139.0,12312.0,802.0,176.0,,,135344.0,208141.0,345.0,,,944.0,1040.0,,,1356.0,,,,255.0,219.0,,5031.0,,,532.0,,775.0,,,103.0,1592.0,,102.0,,,,,,,,1049.0,,2510.0,21473.0,108.0,273.0,,143.0,129.0,,123330.0,,1097.0,341.0,,11496.0,184.0,,127.0,720.0,276.0,429.0,,2215.0,,,178473.0,,1268.0,221.0,,684.0,,,,996.0,142656.0,1382.0,667.0,,,,,,,12855.0,744.0,25524.0,,871.0,120.0,162.0,399.0,,,,784.0,,112.0,457.0,1814.0,,161.0,6687.0,151.0,,156.0,846.0,140.0,1013.0,2482.0,1481.0,269.0,,,129.0,,,,,1504.0,,152.0,,,876.0,,,
2013-09-30,,,,281.0,248.0,1914.0,231.0,,,211.0,280.0,,1848.0,668.0,,541.0,,227.0,,882.0,,419.0,,97361.0,40844.0,107915.0,356.0,53542.0,,6659.0,,16320.0,1321.0,1878.0,,,,,,,,1195.0,,676.0,1741.0,,,263.0,338.0,1767.0,,6186.0,5086.0,1235.0,,400.0,239.0,,185.0,514.0,,,,,,,,,23764.0,,,5931.0,,36036.0,,,15198.0,1405.0,,,,182229.0,297023.0,479.0,,,1308.0,1588.0,,,2219.0,,,224.0,299.0,345.0,,6813.0,,,622.0,,1579.0,179.0,,651.0,1905.0,340.0,,,,,,,,,1119.0,,3306.0,31890.0,257.0,,,,244.0,,162668.0,,1033.0,905.0,,14661.0,,,,1436.0,528.0,506.0,,3792.0,,,236738.0,259.0,3284.0,677.0,,893.0,,,,1207.0,164394.0,2734.0,751.0,218.0,,,,,,16982.0,1387.0,37242.0,,751.0,,339.0,325.0,,,,754.0,,,449.0,3326.0,,,8145.0,229.0,,232.0,1064.0,266.0,1511.0,3103.0,3627.0,856.0,,,,,178.0,,,3330.0,,205.0,,,413.0,,,
2013-12-30,,,,,567.0,2478.0,,,350.0,464.0,,,2123.0,1377.0,,713.0,,227.0,,1000.0,,700.0,524.0,114811.0,54456.0,137705.0,1329.0,73324.0,257.0,10600.0,,22887.0,1424.0,2426.0,,,218.0,,,,,1638.0,,844.0,3099.0,,,398.0,260.0,1598.0,413.0,6823.0,6973.0,1469.0,,631.0,1136.0,,,534.0,,,,,,,,,31578.0,,353.0,7906.0,,50836.0,,,15801.0,1744.0,,,,245913.0,378139.0,416.0,,,1912.0,2798.0,,,2519.0,,,,604.0,1126.0,,9549.0,,,1013.0,,2373.0,,,1039.0,3260.0,503.0,,,,,,,,,1477.0,,4534.0,41217.0,294.0,292.0,,,,,190700.0,,1234.0,1346.0,,14897.0,,,338.0,1999.0,898.0,828.0,,4783.0,,,278355.0,498.0,4675.0,1009.0,,678.0,,,,897.0,181121.0,4178.0,1758.0,,,,,,,19299.0,1383.0,54579.0,,520.0,407.0,275.0,559.0,,,,2343.0,,,823.0,7844.0,,,10267.0,,,555.0,1322.0,409.0,1672.0,4294.0,3123.0,760.0,,,,,,,,1603.0,,289.0,,231.0,514.0,,,
2014-03-30,,,,,868.0,2636.0,401.0,,,659.0,1041.0,487.0,2827.0,1731.0,,805.0,,354.0,,1366.0,,546.0,383.0,139977.0,68428.0,170176.0,889.0,99701.0,,17000.0,,28862.0,1377.0,2207.0,,,,,502.0,,,2459.0,,1194.0,4712.0,,,603.0,,2394.0,342.0,8129.0,7129.0,2359.0,,851.0,,,,784.0,,,,,,,,,44012.0,,405.0,10022.0,,72547.0,,433.0,20600.0,2436.0,420.0,,,299354.0,494119.0,590.0,,,3057.0,3965.0,,,3794.0,,,356.0,538.0,,,11135.0,,,833.0,,3077.0,,,1142.0,4372.0,,,,,,,,,,1830.0,,5129.0,51906.0,341.0,,,,387.0,,236082.0,365.0,1004.0,1853.0,,19482.0,,,,3297.0,1534.0,823.0,,5763.0,,,347028.0,983.0,7383.0,933.0,,632.0,,,,803.0,201672.0,5478.0,1929.0,,,392.0,,,,25178.0,1912.0,65453.0,,639.0,,510.0,516.0,,,,1917.0,,504.0,874.0,10881.0,,,15826.0,346.0,,721.0,1490.0,712.0,1749.0,4929.0,3608.0,1332.0,,,,,,,,2737.0,,,,,496.0,,,
2014-06-30,,,,,836.0,2422.0,457.0,,,712.0,934.0,455.0,2899.0,2701.0,,547.0,,,,1194.0,,531.0,,146017.0,82107.0,196965.0,974.0,118071.0,,18426.0,,31806.0,980.0,2468.0,,,,,460.0,566.0,,3162.0,,1388.0,5024.0,,,1088.0,,2368.0,,8181.0,7973.0,3449.0,,825.0,448.0,,,1542.0,,,,,,511.0,473.0,,56405.0,,,11198.0,,92850.0,,,25543.0,3187.0,,,,340396.0,564777.0,530.0,,,2974.0,5966.0,500.0,,4915.0,,,,627.0,,,15243.0,,,1293.0,,3915.0,,,1269.0,4235.0,,,,,,,,,,1969.0,,4432.0,52752.0,605.0,585.0,,,,,260243.0,671.0,1515.0,1391.0,,20430.0,,,,3460.0,1740.0,1239.0,551.0,6102.0,,,384562.0,1097.0,11214.0,1072.0,,1022.0,,,,1009.0,219194.0,8802.0,2939.0,,1170.0,725.0,,,,29906.0,1529.0,75636.0,,914.0,,714.0,731.0,,,540.0,5757.0,,1031.0,714.0,12767.0,,,17843.0,,,642.0,1609.0,945.0,1963.0,4954.0,3516.0,1818.0,,,,,,,,2310.0,,,,534.0,,,,
2014-09-30,,,,,768.0,2625.0,,,,738.0,1180.0,,3593.0,2619.0,,518.0,,,,953.0,,,,162978.0,90195.0,216385.0,1378.0,131369.0,,20554.0,,33624.0,1430.0,2820.0,,,561.0,,,499.0,,3098.0,,1403.0,5704.0,,757.0,1424.0,,4072.0,505.0,9485.0,7342.0,3450.0,,1378.0,,,,1617.0,,,,,,,,,74663.0,,532.0,12934.0,,117725.0,,,26362.0,2673.0,556.0,,,365744.0,632495.0,637.0,,,4183.0,7659.0,695.0,,5271.0,,,,671.0,,,17263.0,,,1389.0,,6019.0,,,1006.0,4742.0,,612.0,,,,,,,,2648.0,,4864.0,48266.0,,839.0,,,591.0,,285437.0,869.0,1605.0,1785.0,,21352.0,568.0,,662.0,3783.0,1226.0,808.0,,6145.0,,,422052.0,941.0,11830.0,783.0,,1381.0,,,,1042.0,221306.0,12103.0,2821.0,,,698.0,,869.0,,35730.0,2051.0,89278.0,,1086.0,,1315.0,,,,,14043.0,,920.0,846.0,9584.0,,,19713.0,,,589.0,1473.0,1237.0,2101.0,5104.0,4189.0,1764.0,,,541.0,,,,,3595.0,,1138.0,,536.0,,,,
2014-12-30,,,,,1144.0,1930.0,,,,1605.0,903.0,,3801.0,3333.0,,,,892.0,,1262.0,,,,174160.0,110462.0,253841.0,1253.0,160946.0,,22299.0,,33144.0,810.0,3529.0,,,728.0,,,812.0,,2875.0,,2281.0,4325.0,,1085.0,1901.0,,3159.0,948.0,11568.0,9422.0,4563.0,,1278.0,663.0,,,1561.0,,,,,,,1400.0,,90092.0,,680.0,13346.0,,153201.0,,,28914.0,3790.0,,,665.0,419536.0,721787.0,,,,4490.0,8208.0,,,6830.0,,,,641.0,653.0,,19237.0,,,2344.0,,8350.0,,,1402.0,5126.0,,,,,,,,,,3088.0,,5822.0,49810.0,627.0,,,,616.0,,330059.0,896.0,1623.0,2059.0,,23195.0,,,881.0,4171.0,1702.0,1711.0,,7266.0,,771.0,469878.0,1790.0,12792.0,920.0,,965.0,,,,1153.0,240332.0,17830.0,3636.0,679.0,,842.0,,1088.0,,39547.0,1771.0,100581.0,,1298.0,,781.0,931.0,,,,17726.0,,974.0,935.0,15685.0,,,22893.0,,,619.0,1841.0,1237.0,2138.0,6672.0,4299.0,2660.0,,,659.0,,,,,3421.0,,,,,,,,
2015-03-30,,,,,1464.0,2122.0,,,,4072.0,1122.0,,4477.0,4060.0,,1058.0,,1397.0,,1317.0,,,,203599.0,156480.0,294640.0,2574.0,204389.0,,27771.0,,36928.0,1442.0,3884.0,,,1282.0,,,,,3176.0,,2751.0,6977.0,,1743.0,3583.0,,4616.0,,13049.0,9671.0,7734.0,,1196.0,,,,2402.0,,987.0,,,990.0,,1002.0,,128201.0,,1132.0,13890.0,,259045.0,,1434.0,35557.0,3384.0,,,,520404.0,891877.0,,,,7072.0,12504.0,,,6663.0,,,,955.0,1072.0,,26309.0,,,3018.0,,11778.0,,,1565.0,8109.0,,,,,,,,,,3189.0,,6565.0,60687.0,900.0,,,,1019.0,,405094.0,1184.0,2960.0,2522.0,,29078.0,1065.0,,1029.0,6700.0,2645.0,1914.0,,8803.0,,1086.0,583621.0,3570.0,17855.0,1224.0,,1477.0,,,,1239.0,281266.0,27747.0,6330.0,1880.0,,,,954.0,,46803.0,2376.0,128706.0,,1480.0,900.0,1029.0,,,,,26869.0,,1333.0,1165.0,16336.0,,,30507.0,,,926.0,1843.0,1162.0,2840.0,7132.0,5530.0,3266.0,,,,,1176.0,,,2990.0,,,,,,,,
2015-06-30,,,,,1260.0,2827.0,,,,3661.0,911.0,,5708.0,5297.0,,,,2020.0,,1957.0,,,,228927.0,180338.0,333102.0,3550.0,230372.0,,28004.0,,43460.0,1240.0,3642.0,,,938.0,1134.0,,1092.0,,3534.0,,3872.0,9814.0,,2709.0,3368.0,,6685.0,1193.0,13779.0,12261.0,6480.0,,1428.0,,,,2553.0,,,,,911.0,,986.0,,160548.0,,1920.0,15390.0,,323874.0,,,37678.0,3929.0,,,,613992.0,1034701.0,,,,7930.0,16629.0,,,8357.0,,,,1386.0,1196.0,,27176.0,,,3687.0,,12078.0,,,2622.0,9792.0,,,,,,,,,,3266.0,,7596.0,72103.0,891.0,,,,,,437378.0,1310.0,3732.0,3457.0,,30049.0,1062.0,,1302.0,9808.0,3681.0,1536.0,,8099.0,,1890.0,672030.0,3374.0,21217.0,1543.0,,1723.0,,,,1295.0,297056.0,34233.0,6662.0,2417.0,,,,1007.0,,55989.0,3076.0,144209.0,,1538.0,,,1091.0,,,,38598.0,,1354.0,1255.0,20314.0,1545.0,,44201.0,,,884.0,2801.0,1568.0,2623.0,8710.0,5707.0,3504.0,,1313.0,,,,968.0,,3481.0,,,,,,,,
2015-09-30,,,,,,2013.0,,,,6441.0,,,5393.0,3664.0,,,,2861.0,,2036.0,,,,242620.0,200678.0,355960.0,4239.0,259765.0,,34239.0,,46146.0,2149.0,4043.0,,,1318.0,1466.0,,,,3792.0,,4025.0,9682.0,,3108.0,2813.0,,8667.0,2416.0,14465.0,14482.0,8139.0,,1779.0,,,,2985.0,,,,,1078.0,,,,192294.0,,1566.0,16402.0,1440.0,364369.0,,,39992.0,4124.0,,,,627921.0,1171862.0,,,,13597.0,24396.0,,1088.0,10408.0,,,1855.0,,,,29555.0,,,4105.0,,12532.0,,,2146.0,9505.0,,,,,,,,1082.0,,3826.0,,7636.0,83090.0,,,,,,,472019.0,1281.0,4113.0,4417.0,,29774.0,,,1151.0,11740.0,1471.0,1565.0,,8767.0,,2002.0,753212.0,3193.0,25310.0,1663.0,,2062.0,,,,2049.0,313731.0,36373.0,8631.0,1481.0,,,,1330.0,,60460.0,2502.0,163802.0,,2121.0,1184.0,1371.0,1271.0,,,1293.0,51850.0,,1203.0,1382.0,16985.0,1467.0,,55613.0,,,1624.0,2491.0,1789.0,2701.0,8806.0,8223.0,4297.0,,1532.0,1066.0,,,,,3643.0,,,,,,1246.0,,
